Borough,Neighborhood,ID,Name,Likes,Rating,Tips
Brooklyn,Bedford Stuyvesant,5b93f64b598e64002c8a81bf,Petisco Brazuca,6,7.1,1
Manhattan,Greenwich Village,4a5b5143f964a520fdba1fe3,Berimbau do Brasil,271,8.9,129
Manhattan,West Village,3fd66200f964a52008e71ee3,Casa,194,8.7,66
Manhattan,West Village,4a5b5143f964a520fdba1fe3,Berimbau do Brasil,271,8.9,129
Queens,Astoria,4bdf502a89ca76b062b75d5e,Favela Grill,86,8.6,57
Queens,Long Island City,5338a897498e1b9bc410d5d1,Beija Flor,69,8.7,19
Queens,East Elmhurst,4f0b6fb3e4b07c79f8f42d61,Rainhas Churrascaria,71,6.8,23
Queens,Steinway,58d6aa0898f8aa0d67c21411,Kilo,19,7.7,8
Queens,Rockaway Beach,5554b037498e2fc87369fe8a,The Summer Shift by The MP Shift,6,6.2,4
Queens,Ravenswood,4b6dbc02f964a520c98a2ce3,New York Pão de Queijo,109,8.8,50
Queens,Ravenswood,4c4f33b824edc9b633ab4ebb,Copacabana Brazilian Restaurant,90,8.3,47
Queens,Ravenswood,5338a897498e1b9bc410d5d1,Beija Flor,69,8.7,19
Queens,North Corona,4f0b6fb3e4b07c79f8f42d61,Rainhas Churrascaria,71,6.8,23
Manhattan,Stuyvesant Town,458d06def964a520ff3f1fe3,Esperanto,342,8.4,162
